zip_code,male_poverty_rate,female_poverty_rate,median_income,mean_income,poverty_rate
ZCTA5 75966,7.1,28.3,39375,52837,22.9
ZCTA5 75968,13.3,32.9,28138,47434,33.3
ZCTA5 75969,8.3,19.3,56250,64121,18.4
ZCTA5 75972,5.7,25.1,40171,50715,23.9
ZCTA5 75973,10.8,25.6,46703,65026,26.1
ZCTA5 75974,7.7,21.5,37809,52849,20.6
ZCTA5 75975,5.8,25.3,44228,59352,20.6
ZCTA5 75976,16.3,37.4,29958,50804,33.7
ZCTA5 75977,11,37.9,19643,24645,24.1
ZCTA5 75978,17.4,0,76310,76058,4.5
ZCTA5 75979,6.8,19.6,39063,53728,21.1
ZCTA5 75980,13.2,22,38365,54713,23.4
ZCTA5 76001,3,11.1,88135,105651,9.9
ZCTA5 76002,2.4,6.8,89512,103356,6.1
ZCTA5 76006,2.4,13.5,48116,71636,11.3
ZCTA5 76008,1.8,4.4,133297,158510,3.8
ZCTA5 76009,5.5,14.7,59978,72817,14.5
ZCTA5 76010,3.2,33.6,39073,50368,29.3
ZCTA5 76011,3.8,28.7,40102,54085,26.8
ZCTA5 76012,4.8,13.1,65022,91765,13.4
ZCTA5 76013,3,17.1,55166,76080,16.9
ZCTA5 76014,4,17.8,52588,59252,17
ZCTA5 76015,3.9,14.2,57274,71597,13.5
ZCTA5 76016,2.5,7.2,82490,110103,7.1
ZCTA5 76017,2.2,8.2,75525,92827,8.5
ZCTA5 76018,3.2,10.2,67962,78328,8.6
ZCTA5 76020,1.8,9.9,67674,86148,9.5
ZCTA5 76021,1.7,6.1,74148,90033,5.5
ZCTA5 76022,2.5,7.3,61129,75129,5.6
ZCTA5 76023,4.3,11.9,67452,80183,10.1
ZCTA5 76028,1.4,7.5,80435,100005,6.6
ZCTA5 76031,3.7,13.7,57366,72288,12.8
ZCTA5 76033,2.8,12.1,55938,73670,11.1
ZCTA5 76034,2.1,3.9,163315,217205,3.8
ZCTA5 76035,9.6,11.8,108274,154609,9.9
ZCTA5 76036,2.2,6.1,76355,89403,6.5
ZCTA5 76039,1.8,10.6,70748,89545,9
ZCTA5 76040,3.2,11.4,56997,73400,11.4
ZCTA5 76041,2.6,5.2,133629,105953,3.3
ZCTA5 76043,6.6,27.1,58144,77790,24.5
ZCTA5 76044,4.8,10.1,69067,74929,10.2
ZCTA5 76048,3.1,15.2,54429,77672,12.6
ZCTA5 76049,1.6,7.9,76113,99403,6.7
ZCTA5 76050,2.9,10.6,70234,80887,8.2
ZCTA5 76051,1.7,5.7,91131,117374,5.7
ZCTA5 76052,1.6,7.1,115397,136241,5.2
ZCTA5 76053,3.4,12.8,55711,74027,12.3
ZCTA5 76054,2.1,3.6,100988,117231,3.9
ZCTA5 76055,5.7,21.8,55208,69727,15.6
ZCTA5 76058,4.2,15.9,55973,70578,14.3
ZCTA5 76059,5.4,11.6,44179,58476,11.3
ZCTA5 76060,1.9,5.3,78500,101264,4.2
ZCTA5 76061,77.8,0,-,N,0
ZCTA5 76063,0.9,4.8,97533,116449,4.4
ZCTA5 76064,4.4,4.4,62969,91858,4.3
ZCTA5 76065,1.1,5.8,96483,121897,4.7
ZCTA5 76066,11.7,10.8,46862,67325,13.9
ZCTA5 76067,4.4,22.5,46238,59816,21.2
ZCTA5 76070,8.6,0,100972,107938,0
ZCTA5 76071,5,17.3,62865,87074,15.6
ZCTA5 76073,2.8,8.6,71286,86852,5.7
ZCTA5 76077,27.6,60.2,25833,59758,68.7
ZCTA5 76078,4.7,13.5,70323,86777,11.5
ZCTA5 76082,2.6,13.7,65080,76796,11.5
ZCTA5 76084,3.2,10.3,66205,79189,8.5
ZCTA5 76085,1.8,7.7,74819,94855,6
ZCTA5 76086,2.9,14.6,59098,69103,11.4
ZCTA5 76087,2.4,7.7,90780,110338,6.8
ZCTA5 76088,2.6,8.1,76432,90994,7.1
ZCTA5 76092,1.2,2.8,240507,301033,2.5
ZCTA5 76093,9.8,8.4,51316,63421,10.6
ZCTA5 76102,5.9,26,72560,98331,25.8
ZCTA5 76103,4.8,27,41972,56556,23.4
ZCTA5 76104,5.5,35.5,31450,48269,33.9
ZCTA5 76105,4.5,35.4,32296,40513,33.2
ZCTA5 76106,3.8,27.5,40148,48181,22.8
ZCTA5 76107,2.2,13.8,66259,115025,12.1
ZCTA5 76108,2,10,68860,89981,9.6
ZCTA5 76109,4.7,17.2,82640,139639,15.3
ZCTA5 76110,3.5,22.2,51665,73179,20.9
ZCTA5 76111,4.5,20.3,48989,59793,18.7
ZCTA5 76112,3.3,20.9,45308,61514,19.7
ZCTA5 76114,2.8,16.3,53689,62403,14.2
ZCTA5 76115,4.5,27.6,38929,46292,24.9
ZCTA5 76116,2.6,22,51068,73563,19.6
ZCTA5 76117,3.1,17.7,49353,60396,16
ZCTA5 76118,2.9,8.7,69848,92369,8
ZCTA5 76119,3.4,26.6,37130,48711,26.9
ZCTA5 76120,6.7,17,54012,66301,15.2
ZCTA5 76123,2.5,8.6,85710,97792,7.5
ZCTA5 76126,1.3,5.2,92827,124538,4.3
ZCTA5 76127,43.1,0,87833,84642,0
ZCTA5 76129,**,-,-,-,-
ZCTA5 76131,1.3,4.2,85312,94473,3.7
ZCTA5 76132,2.7,12,56655,94424,10.6
ZCTA5 76133,2.3,19.6,57710,72214,17.3
ZCTA5 76134,4,17.5,49493,64491,16.4
ZCTA5 76135,2.6,12.1,63672,89182,10.6
